{'loss': 0.0004, 'grad_norm': 10.177204132080078, 'learning_rate': 0.0, 'num_tokens': 3114.0, 'completions/mean_length': 114.625, 'completions/min_length': 82.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.25, 'completions/mean_terminated_length': 110.16667175292969, 'completions/min_terminated_length': 82.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.15000000596046448, 'rewards/format_reward_fn/std': 0.08944272249937057, 'rewards/kisan_reward_fn/mean': 0.18125000596046448, 'rewards/kisan_reward_fn/std': 0.08732125163078308, 'reward': 0.33125001192092896, 'reward_std': 0.16422486305236816, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 0.39660185854882, 'epoch': 0.02}
{'loss': 0.0685, 'grad_norm': 96.001220703125, 'learning_rate': 1.6666666666666667e-06, 'num_tokens': 6064.0, 'completions/mean_length': 104.375, 'completions/min_length': 79.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.125, 'completions/mean_terminated_length': 101.00000762939453, 'completions/min_terminated_length': 79.0, 'completions/max_terminated_length': 116.0, 'rewards/format_reward_fn/mean': 0.17500001192092896, 'rewards/format_reward_fn/std': 0.06831301003694534, 'rewards/kisan_reward_fn/mean': 0.20000000298023224, 'rewards/kisan_reward_fn/std': 0.0707106813788414, 'reward': 0.375, 'reward_std': 0.10965001583099365, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 68.51471392065287, 'epoch': 0.03}
{'loss': 0.0038, 'grad_norm': 12.055206298828125, 'learning_rate': 3.3333333333333333e-06, 'num_tokens': 9102.0, 'completions/mean_length': 109.875, 'completions/min_length': 86.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 101.63636779785156, 'completions/min_terminated_length': 86.0, 'completions/max_terminated_length': 125.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.171875, 'rewards/kisan_reward_fn/std': 0.09303898364305496, 'reward': 0.30937498807907104, 'reward_std': 0.20106951892375946, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 3.7606335878372192, 'epoch': 0.05}
{'loss': 0.0003, 'grad_norm': 2.319324254989624, 'learning_rate': 5e-06, 'num_tokens': 12222.0, 'completions/mean_length': 115.0, 'completions/min_length': 76.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.4375, 'completions/mean_terminated_length': 104.8888931274414, 'completions/min_terminated_length': 76.0, 'completions/max_terminated_length': 128.0, 'rewards/format_reward_fn/mean': 0.11250000447034836, 'rewards/format_reward_fn/std': 0.10246951133012772, 'rewards/kisan_reward_fn/mean': 0.15312500298023224, 'rewards/kisan_reward_fn/std': 0.10077822953462601, 'reward': 0.265625, 'reward_std': 0.2196405827999115, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 0.2674431996420026, 'epoch': 0.07}
{'loss': 0.0352, 'grad_norm': 36.940895080566406, 'learning_rate': 6.666666666666667e-06, 'num_tokens': 15219.0, 'completions/mean_length': 107.3125, 'completions/min_length': 90.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.125, 'completions/mean_terminated_length': 104.35714721679688, 'completions/min_terminated_length': 90.0, 'completions/max_terminated_length': 128.0, 'rewards/format_reward_fn/mean': 0.17500001192092896, 'rewards/format_reward_fn/std': 0.06831301003694534, 'rewards/kisan_reward_fn/mean': 0.18125000596046448, 'rewards/kisan_reward_fn/std': 0.051234759390354156, 'reward': 0.35624998807907104, 'reward_std': 0.08749999850988388, 'frac_reward_zero_std': 0.5, 'completion_length': 128.0, 'kl': 35.1849517673254, 'epoch': 0.08}
{'loss': 0.0032, 'grad_norm': 4.631664276123047, 'learning_rate': 8.333333333333334e-06, 'num_tokens': 18355.0, 'completions/mean_length': 116.0, 'completions/min_length': 91.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.3125, 'completions/mean_terminated_length': 110.54545593261719, 'completions/min_terminated_length': 91.0, 'completions/max_terminated_length': 124.0, 'rewards/format_reward_fn/mean': 0.13750000298023224, 'rewards/format_reward_fn/std': 0.09574271738529205, 'rewards/kisan_reward_fn/mean': 0.171875, 'rewards/kisan_reward_fn/std': 0.09303898364305496, 'reward': 0.30937498807907104, 'reward_std': 0.20106951892375946, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 3.1868648470845073, 'epoch': 0.1}
{'loss': 0.1405, 'grad_norm': 114.95167541503906, 'learning_rate': 1e-05, 'num_tokens': 21352.0, 'completions/mean_length': 107.3125, 'completions/min_length': 84.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.125, 'completions/mean_terminated_length': 104.35714721679688, 'completions/min_terminated_length': 84.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.17500001192092896, 'rewards/format_reward_fn/std': 0.06831301003694534, 'rewards/kisan_reward_fn/mean': 0.21250000596046448, 'rewards/kisan_reward_fn/std': 0.07852813601493835, 'reward': 0.38749998807907104, 'reward_std': 0.12408377230167389, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 140.45910367369652, 'epoch': 0.12}
{'loss': 0.0038, 'grad_norm': 6.938352108001709, 'learning_rate': 9.814814814814815e-06, 'num_tokens': 24300.0, 'completions/mean_length': 104.25, 'completions/min_length': 78.0, 'completions/max_length': 127.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 104.25, 'completions/min_terminated_length': 78.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.20000000298023224, 'rewards/format_reward_fn/std': 0.0, 'rewards/kisan_reward_fn/mean': 0.21250000596046448, 'rewards/kisan_reward_fn/std': 0.03415650501847267, 'reward': 0.4125000238418579, 'reward_std': 0.014433755539357662, 'frac_reward_zero_std': 0.75, 'completion_length': 127.0, 'kl': 3.7582308053970337, 'epoch': 0.13}
{'loss': 0.0006, 'grad_norm': 3.327246904373169, 'learning_rate': 9.62962962962963e-06, 'num_tokens': 27271.0, 'completions/mean_length': 105.6875, 'completions/min_length': 79.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.125, 'completions/mean_terminated_length': 102.50000762939453, 'completions/min_terminated_length': 79.0, 'completions/max_terminated_length': 118.0, 'rewards/format_reward_fn/mean': 0.17500001192092896, 'rewards/format_reward_fn/std': 0.06831301003694534, 'rewards/kisan_reward_fn/mean': 0.20000000298023224, 'rewards/kisan_reward_fn/std': 0.0707106813788414, 'reward': 0.375, 'reward_std': 0.10752841830253601, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 0.5684079872444272, 'epoch': 0.15}
{'loss': 0.0019, 'grad_norm': 13.868978500366211, 'learning_rate': 9.444444444444445e-06, 'num_tokens': 30246.0, 'completions/mean_length': 105.9375, 'completions/min_length': 77.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.0625, 'completions/mean_terminated_length': 104.4666748046875, 'completions/min_terminated_length': 77.0, 'completions/max_terminated_length': 127.0, 'rewards/format_reward_fn/mean': 0.1875, 'rewards/format_reward_fn/std': 0.05000000074505806, 'rewards/kisan_reward_fn/mean': 0.21562498807907104, 'rewards/kisan_reward_fn/std': 0.0625000074505806, 'reward': 0.40312501788139343, 'reward_std': 0.07627841830253601, 'frac_reward_zero_std': 0.25, 'completion_length': 128.0, 'kl': 1.9352492904290557, 'epoch': 0.17}
{'loss': 0.0012, 'grad_norm': 3.8582797050476074, 'learning_rate': 9.25925925925926e-06, 'num_tokens': 33325.0, 'completions/mean_length': 112.4375, 'completions/min_length': 82.0, 'completions/max_length': 128.0, 'completions/clipped_ratio': 0.4375, 'completions/mean_terminated_length': 100.33333587646484, 'completions/min_terminated_length': 82.0, 'completions/max_terminated_length': 119.0, 'rewards/format_reward_fn/mean': 0.11249999701976776, 'rewards/format_reward_fn/std': 0.10246951133012772, 'rewards/kisan_reward_fn/mean': 0.15312500298023224, 'rewards/kisan_reward_fn/std': 0.10077822953462601, 'reward': 0.265625, 'reward_std': 0.20106951892375946, 'frac_reward_zero_std': 0.0, 'completion_length': 128.0, 'kl': 1.2339456267654896, 'epoch': 0.18}
